address,latitude,longitude
"111, Avenue de San Severo 01000 Bourg-en-Bresse France",46.2165,5.24814
"329, Rue Léopold le Hon 01000 Bourg-en-Bresse France",46.1937,5.23437
"18, Rue des Dîmes 01000 Bourg-en-Bresse France",46.2067,5.2425
"24, Rue de Montholon 01000 Bourg-en-Bresse France",46.1992,5.20999
"247, Chemin de Bellevue 01960 Péronnas France",46.1817,5.2079
"16, Chemin de Camperousse 06130 Grasse France",43.6389,6.95454
"34, Avenue Henri Matisse 06200 Nice France",43.675,7.2117
"70, Rue Robert Desnos 06600 Antibes France",43.5972,7.06926
"27, Route des Hameaux 09000 Saint-Jean-de-Verges France",43.0251,1.61297
"75, Avenue Fernand Berta 66000 Perpignan France",42.728,2.9016
"79, Avenue de Croix Sud 11100 Narbonne France",43.1607,2.98726
"1, Boulevard Gambetta 11100 Narbonne France",43.1822,3.00703
"19, Rue Pierre Roche 13004 Marseille France",43.3097,5.40235
"58, Cours Pierre Puget 13006 Marseille France",43.2902,5.37263
"107, Boulevard Périer 13008 Marseille France",43.2783,5.38014
"67, Cours Gambetta 13100 Aix-en-Provence France",43.5193,5.46322
"75, Rue Marcellin Berthelot 13290 Aix-en-Provence France",43.4933,5.37006
"110, Boulevard Michelet 13600 La Ciotat France",43.1758,5.60269
"3, Avenue du 11 Novembre 1918 19100 Brive-la-Gaillarde France",45.161,1.53548
"8, Rue Casanova d'Aracciani 20110 Propriano France",41.6731,8.90332
"17, Promenade du Pradeau 65000 Tarbes France",43.2323,0.0660022
"11, Avenue des Églantiers 24660 Coulounieix-Chamiers France",45.1526,0.689497
"7, Rue Auguste Jouchoux 25000 Besançon France",47.2374,5.98774
"104, Rue Edouard Isambard 27120 Pacy-sur-Eure France",49.0138,1.38614
"4, Place de Lorraine 27800 Brionne France",49.1959,0.716844
"7, Rue Antoine de Saint-Exupéry 30100 Alès France",44.1261,4.08961
"25, Boulevard de Strasbourg 31000 Toulouse France",43.6074,1.44663
"48, Avenue de Toulouse 31270 Cugnaux France",43.5393,1.34615
"92, Chemin de Gabardie 31200 Toulouse France",43.635,1.48246
"30, Route d'Ondes 31620 Castelnau-d'Estrétefonds France",43.7888,1.34387
"15, Rue du Gén de Gaulle 33112 Saint-Laurent-Médoc France",45.151,-0.822471
"56, Avenue de Magudas 33700 Mérignac France",44.8561,-0.650609
"1112, Avenue de Saint-Jean d'Angély 16100 Cognac France",45.7078,-0.335782
"2, Rue Patrice Lumumba 34070 Montpellier France",43.5793,3.86104
"309, Rue Gustave Eiffel 34400 Lunel France",43.6795,4.14996
"6, Rue du Docteur Schweitzer 38180 Seyssins France",45.1589,5.69711
"24, Rue Lamartine 38320 Eybens France",45.1574,5.75102
"35, Rue du Segrat 40440 Ondres France",43.561,-1.45138
"159, Boulevard Robert Schuman 44300 Nantes France",47.2414,-1.57359
"10, Rue Laurent Déramez 51100 Reims France",49.2589,4.04283
"26, Rue Buirette 51100 Reims France",49.2548,4.02582
"7, Avenue Gambetta 88000 Épinal France",48.1711,6.44818
"5, Boulevard de Trèves 57070 Metz France",49.1227,6.18835
"2, Rue Louis Néel 59260 Lezennes France",50.6026,3.13556
"200, Rue Serval 59500 Douai France",50.3731,3.07248
"470, Rue Bernard Bordier 60150 Longueil-Annel France",49.4683,2.85769
"14, Avenue du Stade Nautique 64000 Pau France",43.296,-0.352291
"10, Place André Emlinger 64100 Bayonne France",43.4922,-1.49369
"6, Avenue des Forges 65000 Tarbes France",43.2386,0.0863603
"11, Rue Pierre-Gilles de Gennes 64140 Lons France",43.3031,-0.408017
"18, Quai Vallière 11100 Narbonne France",43.1807,3.00713
"104, Rue de Hochfelden 67200 Strasbourg France",48.6026,7.72253
"16, Avenue de l'Europe 67300 Schiltigheim France",48.6131,7.71226
"160, Rue Montmartre 75002 Paris France",48.8702,2.3432
"55, Rue Bellecombe 69006 Lyon France",45.7665,4.86357
"279, Avenue Jean Jaurès 69150 Décines-Charpieu France",45.7719,4.96517
"3, Rue du Colonel Chambonnet 69500 Bron France",45.7279,4.92384
"57, Boulevard du Général de Négrier 72100 Le Mans France",48.01,0.20713
"3, Rue de Paradis 91350 Paris France",48.8744,2.35474
"18 bis, Rue d'Anjou 75008 Paris France",48.8706,2.32155
"46, Rue du Général Foy 75008 Paris France",48.8801,2.31705
"68, Rue d'Hauteville 75010 Paris France",48.8754,2.3511
"9, Rue Dupleix 75015 Paris France",48.8518,2.29827
"3, Cité Ferembach 75017 Paris France",48.8782,2.28925
"177, Rue Eau de Robec 76000 Rouen France",49.4413,1.1022
"271, Rue Denis Papin 76360 Barentin France",49.5397,0.958914
"2, Rue de la Brunette 77140 Nemours France",48.2668,2.6902
"4, Rue du Général Leclerc 78000 Versailles France",48.7995,2.12473
"24, Rue Carnot 78000 Versailles France",48.8057,2.12884
"62, Rue du Maréchal Foch 78000 Versailles France",48.812,2.13551
"146, Avenue de la Rochelle 79000 Niort France",46.3157,-0.474083
"33, Rue Jean de la Fontaine 76600 Le Havre France",49.4886,0.113091
"2, Rue des trois Tarn 81000 Albi France",43.9371,2.16707
"47, Rue Gimelli 83000 Toulon France",43.1262,5.93369
"33, Rond-Point Mirasouléou 83100 Toulon France",43.1324,5.98121
"111, Impasse des Lavandes 84100 Orange France",44.1242,4.82504
"37, Rue Barthélémy Thimonnier 87280 Limoges France",45.8853,1.27656
"6, Rue du Bois Sauvage 91000 Évry France",48.6429,2.42356
"12, Avenue Félix Faure 92000 Nanterre France",48.8853,2.21492
"45, Allée des Cèdres 92160 Antony France",48.7581,2.2934
"52, Rue Gallieni 92240 Malakoff France",48.8159,2.30075
"122, Rue de Villiers 92300 Levallois-Perret France",48.895,2.27481
"79, Boulevard du Maréchal Joffre 92340 Bourg-la-Reine France",48.7789,2.3137
"11, Allée de l'Arche 92400 Courbevoie France",48.8951,2.23781
